Epoch,Loss,MSE,Align
1,0.002014207650325261,0.0019939967329241333,0.00020210916784068104
2,0.00011054731221287511,0.00010838512643938884,2.1621857749123592e-05
3,6.634279556281399e-05,6.534567700640765e-05,9.971185637841699e-06
4,4.9474719780264424e-05,4.882825070875697e-05,6.464691204600967e-06
5,3.977459366142284e-05,3.9291517700767143e-05,4.830759512842633e-06
6,3.336756881064502e-05,3.2989006489515304e-05,3.785623293442768e-06
7,2.949433364876313e-05,2.9182723319972866e-05,3.1161033696480445e-06
8,2.5638201644469518e-05,2.5376786010456272e-05,2.6141564335193834e-06
9,2.3305519414134324e-05,2.3078719814657232e-05,2.267995912552578e-06
10,2.1099961640138646e-05,2.0903245682566193e-05,1.967159718660696e-06
11,1.921745193860261e-05,1.904354753292864e-05,1.739044013665989e-06
12,1.7888970978092403e-05,1.773489185332437e-05,1.5407911902002525e-06
13,1.628586897160858e-05,1.6146766669116915e-05,1.391023031410441e-06
14,1.5221074570144993e-05,1.5092722562694689e-05,1.2835201098641846e-06
15,1.4845452996814856e-05,1.4727017715049442e-05,1.1843527705605084e-06
16,1.3240781517670257e-05,1.3131376279052347e-05,1.0940522631972272e-06
17,1.301334660165594e-05,1.2909449696453521e-05,1.0389690547890496e-06
18,1.2103316337743309e-05,1.2007523752181442e-05,9.579258882877183e-07
19,1.0953627357812365e-05,1.0864756357768783e-05,8.887100594074581e-07
20,1.1077245645865332e-05,1.0991572609200375e-05,8.567304524603969e-07
21,1.051400269017904e-05,1.0432709326050826e-05,8.129336656475061e-07
22,1.0187187566261855e-05,1.011059628595831e-05,7.659127919851016e-07
23,9.419673234951915e-06,9.347122002291144e-06,7.255123345112224e-07
24,9.030589238464018e-06,8.96150886801479e-06,6.90803708639578e-07
25,8.670309955487027e-06,8.603580890994635e-06,6.672905506911775e-07
26,8.167450492910575e-06,8.104062953789253e-06,6.338753734962666e-07
27,7.909303742053453e-06,7.848818527490948e-06,6.048522231958487e-07
28,7.755024410434999e-06,7.696133373101475e-06,5.88910380638481e-07
29,7.673585388693028e-06,7.616816343870596e-06,5.676904432493756e-07
30,6.985058055215632e-06,6.9314684247365225e-06,5.358963223079627e-07
31,6.521965340143651e-06,6.4721311805624285e-06,4.983415763308585e-07
32,6.671730460548133e-06,6.62200437473075e-06,4.972607629952108e-07
33,6.352611444053764e-06,6.305308015653281e-06,4.730342967832257e-07
34,6.1691601164420715e-06,6.1236623414515634e-06,4.549777305965108e-07
35,5.92864525555342e-06,5.88359420245979e-06,4.505105159933009e-07
36,5.5404364840433115e-06,5.498715643552714e-06,4.172083986486541e-07
37,5.72022780579573e-06,5.678636698758055e-06,4.1591111177694984e-07
38,5.4396733529574705e-06,5.3999802658290715e-06,3.9693091459412244e-07
39,5.1857081498746996e-06,5.14676660659461e-06,3.8941540765335957e-07
40,5.079253021103796e-06,5.041611097040004e-06,3.7641924203398956e-07
41,4.867817544509308e-06,4.832100063867983e-06,3.571748067770386e-07
42,4.815146958680998e-06,4.779404501023236e-06,3.574245724530556e-07
43,4.66388424330944e-06,4.629143761849263e-06,3.474048090038195e-07
44,4.961708137070673e-06,4.926851440868632e-06,3.485669422616411e-07
45,4.3405331165195095e-06,4.3083484835005945e-06,3.218463249822889e-07
46,4.4550730479386405e-06,4.42245135011035e-06,3.2621693642795437e-07
47,4.164176428312203e-06,4.133011842877749e-06,3.116458332306138e-07
48,4.093527699624247e-06,4.063347924748086e-06,3.017977472882194e-07
49,4.100261679141113e-06,4.070803409540531e-06,2.945826913492056e-07
50,3.969142227251723e-06,3.940129052898555e-06,2.901317384430513e-07
51,3.964980441887746e-06,3.936299031065573e-06,2.8681413483809593e-07
52,3.821214944910025e-06,3.793547375153139e-06,2.766756633218392e-07
53,3.860227218174259e-06,3.832593455445021e-06,2.7633760491880823e-07
54,3.715605178676924e-06,3.68860485170444e-06,2.7000329466318365e-07
55,3.481575003661419e-06,3.4562570396337835e-06,2.531796287985344e-07
56,3.5594767578368193e-06,3.5338878624497736e-06,2.5588892737232527e-07
57,3.6753770693030673e-06,3.649269738834846e-06,2.6107331183993665e-07
58,3.6566548045448146e-06,3.6302762605373573e-06,2.6378543066584826e-07
59,3.3652759204414906e-06,3.3408252428307607e-06,2.445067643384391e-07
60,3.3702901547803776e-06,3.3461761491889773e-06,2.4114006019772206e-07
61,3.5136991743820543e-06,3.488780226380186e-06,2.4918951881772955e-07
62,6.043401376045949e-06,5.998390731710969e-06,4.501061101223058e-07
63,4.777858870584169e-06,4.7417935384146405e-06,3.606533477886842e-07
64,3.5980314141488634e-06,3.571823468992079e-06,2.6207942764813194e-07
65,3.3466544701514066e-06,3.3218990044952078e-06,2.4755464485224366e-07
66,3.327377885852911e-06,3.3035516543532138e-06,2.3826231013345023e-07
67,3.2829109470912953e-06,3.258923172325012e-06,2.398777756502568e-07
68,3.0577003174221317e-06,3.0351193028400304e-06,2.2581013880426327e-07
69,2.990012319824018e-06,2.968132894329756e-06,2.187942651494268e-07
70,3.0410708644922123e-06,3.019214775358705e-06,2.1856091884728813e-07
71,6.282535394602746e-06,6.22341793439773e-06,5.911744012564668e-07
72,2.8674337491429468e-06,2.8463446362002287e-06,2.1089115402446624e-07
73,2.844306358711037e-06,2.822926713470224e-06,2.1379644806984287e-07
74,2.966071140490385e-06,2.9447064404303093e-06,2.1364700136246028e-07
75,2.808633827717131e-06,2.7875840377964776e-06,2.1049790322877015e-07
76,2.65125600835745e-06,2.631517788668134e-06,1.9738218406246232e-07
77,2.794545181632202e-06,2.7741344061178095e-06,2.0410776537573837e-07
78,8.633297312790092e-06,8.56435837391473e-06,6.893887183491643e-07
79,2.4650210683830663e-06,2.433093632298551e-06,3.1927435724810495e-07
80,2.610866402119427e-06,2.5910603610645924e-06,1.9806042019581584e-07
81,2.5754912038973998e-06,2.5558911570260534e-06,1.9600045924335064e-07
82,2.7142343422747216e-06,2.6950458017472555e-06,1.9188540045661285e-07
83,2.5376610116836674e-06,2.5190181873404072e-06,1.8642824549942817e-07
84,2.6267841706157925e-06,2.6082798692914367e-06,1.85043018889246e-07
85,2.555188192645801e-06,2.5371966708553373e-06,1.799152237231283e-07
86,2.282730160277424e-06,2.265646887390176e-06,1.7083274041624463e-07
87,4.5590948721473974e-06,4.526990435797416e-06,3.21044500494736e-07
88,1.6447255643288371e-06,1.6294405219014152e-06,1.5285042164578045e-07
89,2.4719119405290256e-06,2.454301797624794e-06,1.7610143746424e-07
90,2.1244244157151115e-06,2.1079948450460504e-06,1.6429570741593124e-07
91,2.3198158677405447e-06,2.3028655992220593e-06,1.6950266893900335e-07
92,2.2338046805180057e-06,2.2170985069169545e-06,1.6706173096508792e-07
93,2.2031315701860877e-06,2.1866507783761336e-06,1.6480790852256177e-07
94,2.364749252346883e-06,2.3475548011447245e-06,1.7194452120747882e-07
95,2.2227394388210087e-06,2.2063873348542985e-06,1.635210338190518e-07
96,2.026899163665803e-06,2.011372553333786e-06,1.5526607424590112e-07
97,2.5325917080681392e-06,2.5148851093126724e-06,1.770659726912527e-07
98,1.8811700272271991e-06,1.8669061373475414e-06,1.4263889529502195e-07
99,2.199763476210137e-06,2.1832384241588443e-06,1.6525052742053958e-07
100,2.0294211425061804e-06,2.0142157512327687e-06,1.520539227522022e-07
